Drug,Rule_Num,Rule_Header,Matched_Cancers,Potential_New_Cancers,Full_Text_Length
9.2.Carboplatin(如Paraplatin；Carboplatin inj)：(112/12/1、114/2/1、114/6/1、114/8/1、114/10/1、115/6/1、115/8/1),9.,9.與dostarlimab及paclitaxel(除GENETAXYL CREM LESS及TAXOL以外)併用，至多使用6個療程，接續單用dostarlimab用於治療患有錯誤配對修復功能不足（dMMR）或微衛星高度不穩定性（MSI-H）之原發性晚期或首次復發性子宮內膜癌(EC）成人病人第一線治,子宮體癌,或首次復發性子宮內膜癌,182
9.3.Docetaxel：（87/7/1、92/11/1、93/8/1、95/8/1、96/1/1、99/6/1、100/1/1、101/9/1、108/1/1、113/5/1、115/6/1、115/8/1）,1.,1.本類藥品(除Doce之外)依藥品許可證登載之適應症範圍內給付於乳癌、非小細胞肺癌、前列腺癌、頭頸癌及胃腺癌之病例；倘併用其他標靶治療、免疫檢查點抑制劑等藥品時，病人須符合該併用藥品之藥品給付規定。(115/6/1、115/8/1）,"乳癌, 攝護腺癌, 肺癌, 胃癌, 頭頸癌","適應症範圍內給付於乳癌, 頭頸癌及胃腺癌",117
9.3.Docetaxel：（87/7/1、92/11/1、93/8/1、95/8/1、96/1/1、99/6/1、100/1/1、101/9/1、108/1/1、113/5/1、115/6/1、115/8/1）,2.,2.Doce及Phyxotere限給付於下列情形：(115/6/1、115/8/1）,"乳癌, 攝護腺癌, 肺癌, 胃癌, 頭頸癌","下淋巴結轉移之早期乳癌, 包括胃食道接合處之腺癌, 局部晚期或轉移性乳癌, 性的去勢敏感性前列腺癌, 早期乳癌, 晚期胃腺癌, 期或轉移性非小細胞肺癌, 療失敗之轉移性前列腺癌, 轉移之頭頸部鱗狀細胞癌",462
9.4.Gemcitabine（如Gemzar）：（92/12/1、93/8/1、94/10/1、96/5/1、99/10/1、105/2/1、114/2/1、115/2/1、115/6/1）,1.,1.本類藥品(除Gemmis之外)依藥品許可證登載之適應症範圍內給付於非小細胞肺癌、胰臟癌、膀胱癌、乳癌、卵巢癌及膽道癌之病例；倘併用其他標靶治療、免疫檢查點抑制劑等藥品時，病人須符合該併用藥品之藥品給付規定。(115/6/1）,"乳癌, 卵巢癌, 尿路上皮癌, 肺癌, 胰臟癌, 膽道癌","卵巢癌及膽道癌, 圍內給付於非小細胞肺癌",114
9.4.Gemcitabine（如Gemzar）：（92/12/1、93/8/1、94/10/1、96/5/1、99/10/1、105/2/1、114/2/1、115/2/1、115/6/1）,2.,2. Gemmis限給付於下列情形：(115/6/1）,"乳癌, 卵巢癌, 尿路上皮癌, 肺癌, 胰臟癌, 膽道癌","個月之卵巢癌, 及胰臟癌, 壺腹癌, 手術切除之非小細胞肺癌, 手術切除或轉移性之乳癌, 晚期膀胱癌, 治療或不可手術之膽道癌, 除或晚期或復發之膽道癌, 除或轉移性泌尿道上皮癌",475
9.5.1.Paclitaxel成分注射劑：(108/11/1、112/12/1、114/6/1、114/8/1、115/6/1、115/8/1),1.,1.本類藥品(除GENETAXYL CREM LESS及TAXOL以外)依藥品許可證登載之適應症範圍內給付於卵巢癌、非小細胞肺癌、乳癌及卡波西氏肉瘤之病例。(115/6/1、115/8/1）,"乳癌, 卡波西氏肉瘤, 卵巢癌, 肺癌","乳癌及卡波西氏肉瘤, 應症範圍內給付於卵巢癌",95
9.5.1.Paclitaxel成分注射劑：(108/11/1、112/12/1、114/6/1、114/8/1、115/6/1、115/8/1),2.,2.GENETAXYL CREM LESS及TAXOL限給付於下列情形：(115/6/1、115/8/1）,"乳癌, 卡波西氏肉瘤, 卵巢癌, 肺癌","失敗的轉移性乳癌, 晚期卵巢癌, 腋下淋巴轉移之乳癌",311
9.5.1.Paclitaxel成分注射劑：(108/11/1、112/12/1、114/6/1、114/8/1、115/6/1、115/8/1),3.,3.本類藥品併用其他標靶治療、免疫檢查點抑制劑等藥品時，病人須符合該併用藥品之藥品給付規定，並依下列情形使用：(115/8/1）,"乳癌, 子宮體癌, 肺癌","併用於早期三陰性乳癌, 或首次復發性子宮內膜癌, 轉移性鱗狀非小細胞肺癌",608
9.5.2.Albumin-based paclitaxel（如Abraxane）：(108/11/1),一般,(無標題),胰臟癌,做為轉移性胰腺癌,32
9.6.Streptococcus pyrogene(如Picibanil)：,一般,(無標題),無符合,限惡性腫瘤,36
9.8.Toremifene（如Fareston）：（88/6/1）,一般,(無標題),乳癌,為陽性之轉移性乳癌,47
9.9.Vinorelbine：(91/1/1、95/6/1、96/9/1、101/3/1、106/11/1),1.,1.限用於：,"乳癌, 肺癌","及轉移性乳癌, 手術切除之非小細胞肺癌",121
9.9.Vinorelbine：(91/1/1、95/6/1、96/9/1、101/3/1、106/11/1),2.,2.本成分之口服劑型與注射劑型不得併用。,無符合,無,20
9.10.Oxaliplatin：（需符合藥品許可證登載之適應症）（89/7/1、91/10/1、93/8/1、98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1、110/5/1、110/6/1、110/7/1、111/11/1、113/4/1、113/6/1、115/2/1),1.,1.和5-FU和folinic acid併用,結直腸癌,"作為第三期結腸癌, 原發腫瘤, 治療轉移性結腸直腸癌",125
9.10.Oxaliplatin：（需符合藥品許可證登載之適應症）（89/7/1、91/10/1、93/8/1、98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1、110/5/1、110/6/1、110/7/1、111/11/1、113/4/1、113/6/1、115/2/1),2.,2.與fluoropyrimidine類藥物(如capecitabine、5-FU、UFUR，但不包含TS-1)併用，可用於局部晚期及復發/轉移性胃癌之治療。(須依藥品許可證登載之適應症使用)。(98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1）,胃癌,轉移性胃癌,145
9.10.Oxaliplatin：（需符合藥品許可證登載之適應症）（89/7/1、91/10/1、93/8/1、98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1、110/5/1、110/6/1、110/7/1、111/11/1、113/4/1、113/6/1、115/2/1),3.,3.與5-fluorouracil、leucovorin及irinotecan併用(FOLFIRINOX)，作為轉移性胰臟癌之第一線治療。(110/5/1、110/6/1、110/7/1、111/11/1),胰臟癌,作為轉移性胰臟癌,103
9.10.Oxaliplatin：（需符合藥品許可證登載之適應症）（89/7/1、91/10/1、93/8/1、98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1、110/5/1、110/6/1、110/7/1、111/11/1、113/4/1、113/6/1、115/2/1),4.,4.與nivolumab及fluoropyrimidine（5-FU或capecitabine）併用於第一線治療晚期或轉移性且不具有HER2過度表現的胃癌病人，病人需符合免疫檢查點抑制劑之藥品給付規定。(113/4/1、113/6/1、115/2/1),胃癌,過度表現的胃癌,126
9.10.Oxaliplatin：（需符合藥品許可證登載之適應症）（89/7/1、91/10/1、93/8/1、98/2/1、98/3/1、98/7/1、102/9/1、102/12/1、109/12/1、110/5/1、110/6/1、110/7/1、111/11/1、113/4/1、113/6/1、115/2/1),5.,5.與nivolumab及fluoropyrimidine併用於無法接受化學放射性治療或手術切除等治癒性治療之晚期或轉移性食道鱗狀細胞癌成人病人的第一線治療，病人需符合免疫檢查點抑制劑之藥品給付規定。(115/2/1),食道癌,或轉移性食道鱗狀細胞癌,109
9.11.Uracil-Tegafur：(如Ufur)(100/1/1),1.,1.限轉移性胃癌、轉移性直腸癌、轉移性結腸癌、轉移性乳癌之病患使用（89/10/1、97/12/1）。,"乳癌, 結直腸癌, 胃癌","轉移性乳癌, 轉移性直腸癌, 轉移性結腸癌, 限轉移性胃癌",51
9.11.Uracil-Tegafur：(如Ufur)(100/1/1),2.,2.頭頸部鱗狀上皮癌(93/4/1、98/3/1、99/10/1)。,頭頸癌,無,34
9.11.Uracil-Tegafur：(如Ufur)(100/1/1),3.,3.與cisplatin併用治療轉移及末期肺癌。,肺癌,併用治療轉移及末期肺癌,24
9.11.Uracil-Tegafur：(如Ufur)(100/1/1),4.,4.直腸癌、結腸癌第Ⅱ、Ⅲ期患者之術後輔助性治療，且使用期限不得超過2年(94/10/1、97/12/1),結直腸癌,無,53
9.11.Uracil-Tegafur：(如Ufur)(100/1/1),5.,5.用於病理分期為T2且腫瘤≧3cm之肺腺癌病人，作為手術後輔助治療，使用期限以二年為限。(100/1/1),肺癌,"且腫瘤, 之肺腺癌",54
9.12.1.Irinotecan(如Campto injection)：（需符合藥品許可證登載之適應症）(90/10/1、93/8/1、110/5/1、110/7/1、110/8/1、112/2/1),1.,1.限轉移性大腸直腸癌之第一線治療藥物:,結直腸癌,限轉移性大腸直腸癌,87
9.12.1.Irinotecan(如Campto injection)：（需符合藥品許可證登載之適應症）(90/10/1、93/8/1、110/5/1、110/7/1、110/8/1、112/2/1),2.,2.與5-fluorouracil、leucovorin及oxaliplatin併用(FOLFIRINOX)，做為轉移性胰臟癌之第一線治療(限用Irino、Irinotel、Campto、Irinotecan Injection Concentrate、Irican、Innocan、Irinotec,胰臟癌,做為轉移性胰臟癌,197
9.12.2.Irinotecan微脂體注射劑(如Onivyde)：(107/8/1、114/12/1),1.,1.與5-FU及leucovorin合併使用於曾接受過gemcitabine治療後復發或惡化之轉移性胰腺癌。(107/8/1),胰臟癌,發或惡化之轉移性胰腺癌,63
9.12.2.Irinotecan微脂體注射劑(如Onivyde)：(107/8/1、114/12/1),2.,2.與oxaliplatin、5-FU和leucovorin併用，作為轉移性胰腺癌成人病人第一線治療。(114/12/1),胰臟癌,作為轉移性胰腺癌,61
9.12.2.Irinotecan微脂體注射劑(如Onivyde)：(107/8/1、114/12/1),3.,3.需經事前審查核准後使用。,無符合,無,14
9.13.Aldesleukin(如Proleukin for Injection)：(90/10/1、93/8/1),一般,(無標題),腎細胞癌,"及惡性黑色素癌, 限轉移性腎細胞癌",20
9.14.Doxorubicin hydrochloride liposome injection(如Lipo-Dox、Caelyx)：(91/3/1、93/8/1、93/11/1、99/10/1),一般,(無標題),無符合,無,18
9.14.Doxorubicin hydrochloride liposome injection(如Lipo-Dox、Caelyx)：(91/3/1、93/8/1、93/11/1、99/10/1),1.,1.用於治療曾接受第一線含platinum及paclitaxel化學治療而失敗者或再復發之進行性或轉移性卵巢癌病人。(91/3/1),卵巢癌,之進行性或轉移性卵巢癌,66
9.14.Doxorubicin hydrochloride liposome injection(如Lipo-Dox、Caelyx)：(91/3/1、93/8/1、93/11/1、99/10/1),2.,2.用於治療CD4數量低下（<200 CD4 lymphocyte/mm3）和粘膜、皮膚或內臟有病變的AIDS related Kaposi’s Sarcoma的病人。(91/3/1),無符合,無,92
9.14.Doxorubicin hydrochloride liposome injection(如Lipo-Dox、Caelyx)：(91/3/1、93/8/1、93/11/1、99/10/1),3.,3.用於單一治療有心臟疾病風險考量之轉移性乳癌患者。(93/11/1),乳癌,病風險考量之轉移性乳癌,35
9.15.Tretinoin（如Vesanoid Soft Gelatin）：（88/10/1）,一般,(無標題),白血病,限急性前髓性白血病,12
9.16.1.Topotecan注射劑（88/10/1、93/8/1、98/11/1）,1.,1.限卵巢癌及小細胞肺癌之第二線化學治療（第一線治療應包括白金化合物）。,"卵巢癌, 肺癌",限卵巢癌及小細胞肺癌,36
9.16.1.Topotecan注射劑（88/10/1、93/8/1、98/11/1）,2.,2.與cisplatin併用適用於治療經組織學檢查確定患有第IV-B期復發性或持續性子宮頸癌，且不適合以外科手術及（或）放射療法進行治療的患者。（98/11/1）,子宮頸癌,復發性或持續性子宮頸癌,81
9.16.2.Topotecan口服劑型（100/6/1）,一般,(無標題),肺癌,限用於小細胞肺癌,32
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,1.,1.Capecitabine與docetaxel併用於治療對anthracycline化學治療無效之局部晚期或轉移性乳癌病患。,乳癌,之局部晚期或轉移性乳癌,63
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,2.,2.用於局部晚期或轉移性乳癌，需符合下列條件之一：(110/2/1),乳癌,於局部晚期或轉移性乳癌,200
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,3.,3.治療轉移性結腸直腸癌的第一線用藥。(92/6/1),結直腸癌,治療轉移性結腸直腸癌,27
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,4.,4.第三期結腸癌患者手術後的輔助性療法，以八個療程為限。（96/9/1）,結直腸癌,第三期結腸癌,36
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,5.,5.Capecitabine合併platinum可使用於晚期胃癌之第一線治療。(97/12/1),胃癌,可使用於晚期胃癌,48
9.17.Capecitabine（如Xeloda）：（88/10/1、91/4/1、92/6/1、93/8/1、96/9/1、97/12/1、110/2/1、113/4/1、113/6/1、115/2/1）,6.,6.與nivolumab及oxaliplatin併用於第一線治療晚期或轉移性且不具有HER2過度表現的胃癌病人，病人需符合免疫檢查點抑制劑之藥品給付規定。(113/4/1、113/6/1、115/2/1),胃癌,過度表現的胃癌,102
9.18. Trastuzumab (如Herceptin)：(91/4/1、93/8/1、95/2/1、99/1/1、99/8/1、99/10/1、101/1/1、105/11/1、108/5/1、109/2/1、111/12/1、112/10/1、113/8/1、113/12/1、114/1/1、114/5/1、114/12/1、115/7/1、115/8/1),1.,1.早期乳癌(99/1/1、99/8/1、99/10/1、101/1/1、111/12/1、112/10/1、113/8/1、113/12/1、114/1/1、114/12/1、115/7/1),乳癌,"下淋巴結轉移之早期乳癌, 且腫瘤, 早期乳癌, 遠處臟器轉移之早期乳癌, 顯示腫瘤",1650
9.18. Trastuzumab (如Herceptin)：(91/4/1、93/8/1、95/2/1、99/1/1、99/8/1、99/10/1、101/1/1、105/11/1、108/5/1、109/2/1、111/12/1、112/10/1、113/8/1、113/12/1、114/1/1、114/5/1、114/12/1、115/7/1、115/8/1),2.,2.轉移性乳癌(事審代碼：C50R1),乳癌,"上化學治療之轉移性乳癌, 單獨使用於治療腫瘤, 轉移性乳癌, 過化學治療之轉移性乳癌",390
9.18. Trastuzumab (如Herceptin)：(91/4/1、93/8/1、95/2/1、99/1/1、99/8/1、99/10/1、101/1/1、105/11/1、108/5/1、109/2/1、111/12/1、112/10/1、113/8/1、113/12/1、114/1/1、114/5/1、114/12/1、115/7/1、115/8/1),3.,3.轉移性胃癌(限IV 劑型) (事審代碼：C16R1),胃癌,"或胃食道接合處腺癌, 轉移性胃癌, 轉移性胃腺癌",146
