Drug,Rule_Num,Rule_Header,Matched_Cancers,Potential_New_Cancers,Full_Text_Length
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),9.,9.Rituximab(限使用Rixathon)合併lenalidomide(限使用Revlimid)用於先前曾接受至少一線全身性治療之復發性或難治性濾泡性淋巴瘤成人病人，需符合lenalidomide之藥品給付規定。（115/5/1）,淋巴瘤,性或難治性濾泡性淋巴瘤,118
9.20.Rituximab注射劑(如Mabthera，不同劑型之適用範圍需符合藥品許可證登載之適應症)：用於抗癌瘤部分(91/4/1、93/1/1、95/3/1、97/2/1、102/1/1、103/2/1、103/9/1、104/6/1、106/9/1、111/6/1、113/2/1、113/12/1、115/5/1、115/6/1),10.,10.使用於1、4、5、6、7、8及9病人時，需經事前審查核准後使用，使用Rixathon用於1、4、5之病人除外。(102/1/1、103/2/1、103/9/1、113/12/1、115/5/1、115/6/1),無符合,無,108
"9.21.Fludarabine(如Fludara Oral, Film-Coated Tablet及Fludara Lyophilized IV Injection)：(92/12/1、93/3/1、94/10/1、99/10/1、106/11/1)",1.,1.用於B-細胞慢性淋巴性白血病（CLL）病患的起始治療及CLL與低惡性度B細胞非何杰金氏淋巴瘤(Indolent B-Cell NHL)病患，歷經至少一種標準內容的烷化基藥劑（alkylating agent）的治療方法都無效，或治療後雖有效但隨後疾病又繼續惡化的病人。,"淋巴瘤, 白血病","細胞慢性淋巴性白血病, 細胞非何杰金氏淋巴瘤",136
"9.21.Fludarabine(如Fludara Oral, Film-Coated Tablet及Fludara Lyophilized IV Injection)：(92/12/1、93/3/1、94/10/1、99/10/1、106/11/1)",2.,2.以本品作為第一線治療，限用於(94/10/1)。,無符合,無,205
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,一般,(無標題),無符合,無,3
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,1.,1.治療正值急性轉化期(blast crisis)、加速期或經ALPHA-干擾素治療無效之慢性期的慢性骨髓性白血病(CML)患者使用。,白血病,之慢性期的慢性骨髓性白血病,67
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,2.,2.用於治療初期診斷為慢性骨髓性白血病（CML）的病人。,白血病,初期診斷為慢性骨髓性白血病,28
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,3.,3.惡性胃腸道基質瘤(GIST)：,胃腸道基質瘤,"作為成人胃腸道基質瘤, 惡性胃腸道基質瘤, 轉移的惡性胃腸道基質瘤",217
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,4.,4.治療初診斷為費城染色體陽性急性淋巴性白血病（Ph+ALL)且併用化療之成年人。(99/6/1),白血病,染色體陽性急性淋巴性白血病,49
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,5.,5.未曾使用imatinib治療之成人復發性或難治性費城染色體陽性急性淋巴性白血病(Ph+ALL)之單一療法。(99/6/1),白血病,染色體陽性急性淋巴性白血病,63
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,6.,6.下列適應症患者必須在第一線的藥物如hydroxyurea; corticosteroid等無效後，經事前審查核准才可使用，且每6個月需重新申請審查。(99/6/1),白血病,或慢性嗜伊紅性白血病,230
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,7.,7.治療患有無法手術切除、復發性或轉移性且有血小板衍生生長因子受體(PDGFR)基因重組之隆突性皮膚纖維肉瘤(DFSP)之成人患者。(99/6/1),無符合,重組之隆突性皮膚纖維肉瘤,74
9.22.Imatinib(如Glivec)：(91/5/1、93/7/1、97/8/1、99/6/1、100/2/1、102/9/1、113/6/1)附表九之八,8.,8.1~7項規定內之疾病診斷或追蹤若需依據基因檢測報告，則需符合全民健康保險藥品給付規定之通則十二。(113/6/1),無符合,無,59
9.23.Arsenic trioxide(如Asadin Inj.)：(91/8/1、92/9/1),一般,(無標題),白血病,限用於急性前骨髓細胞白血病,16
9.24.Gefitinib(如Iressa):(93/11/1、96/8/1、96/11/1、100/6/1、101/5/1、101/10/1、103/5/1、106/11/1、 108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/2/1、111/4/1、113/3/1、113/6/1、113/10/1、115/8/1),1.,1.限單獨使用於,肺癌,"之肺腺癌, 局部惡化或轉移之肺腺癌",209
9.24.Gefitinib(如Iressa):(93/11/1、96/8/1、96/11/1、100/6/1、101/5/1、101/10/1、103/5/1、106/11/1、 108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/2/1、111/4/1、113/3/1、113/6/1、113/10/1、115/8/1),2.,2.使用注意事項(106/11/1、109/4/1、109/10/1、111/4/1、113/3/1、115/8/1）,肺癌,"歷應留存確實患有肺腺癌, 部侵犯性或轉移性肺腺癌",1073
9.25.Temozolomide(如Temodal)：(94/3/1、97/1/1、98/9/1、111/9/1)附表八之二,一般,(無標題),無符合,無,3
9.25.Temozolomide(如Temodal)：(94/3/1、97/1/1、98/9/1、111/9/1)附表八之二,1.,1.經手術或放射線治療後復發之下列病人：,腦瘤,"多形神經膠母細胞瘤, 退行性寡樹突膠質細胞瘤, 退行性星狀細胞瘤",154
9.25.Temozolomide(如Temodal)：(94/3/1、97/1/1、98/9/1、111/9/1)附表八之二,2.,2.新診斷的多形神經膠母細胞瘤，與放射線治療同步進行，然後作為輔助性治療。（97/1/1）,腦瘤,斷的多形神經膠母細胞瘤,45
9.25.Temozolomide(如Temodal)：(94/3/1、97/1/1、98/9/1、111/9/1)附表八之二,3.,3.需經事前審查核准後使用，每日最大劑量200mg/m2。每次申請事前審查之療程以三個月為限，再次申請必須提出客觀證據（如：影像學）證實無惡化，才可繼續使用。(98/9/1、111/9/1),無符合,無,95
9.26.Pemetrexed(如Alimta)：(95/3/1、95/7/1、97/11/1、98/9/1、103/4/1、103/9/1、106/11/1、111/2/1、114/6/1、114/8/1、114/10/1、115/8/1),1.,1.限用於,"肺癌, 間質細胞瘤","常的非鱗狀非小細胞肺癌, 期或轉移性非小細胞肺癌, 用於惡性肋膜間質細胞瘤, 用於非鱗狀非小細胞肺癌",634
9.26.Pemetrexed(如Alimta)：(95/3/1、95/7/1、97/11/1、98/9/1、103/4/1、103/9/1、106/11/1、111/2/1、114/6/1、114/8/1、114/10/1、115/8/1),2.,2.每4個療程需進行療效評估，病歷應留存評估紀錄，無疾病惡化方可繼續使用。(103/4/1、103/9/1、106/11/1),無符合,無,63
9.27.Cetuximab(如Erbitux)：(96/3/1、98/7/1、98/8/1、99/10/1、101/12/1、104/11/1、106/1/1、106/4/1、107/6/1、110/6/1、111/2/1、112/12/1、113/6/1、115/2/1、115/5/1),1.,1.直腸結腸癌治療部分：,結直腸癌,"之轉移性直腸結腸癌, 直腸結腸癌, 突變的轉移性直腸結腸癌, 突變的轉移性結腸直腸癌",1039
9.27.Cetuximab(如Erbitux)：(96/3/1、98/7/1、98/8/1、99/10/1、101/12/1、104/11/1、106/1/1、106/4/1、107/6/1、110/6/1、111/2/1、112/12/1、113/6/1、115/2/1、115/5/1),2.,2.口咽癌、下咽癌及喉癌治療部分：(98/7/1、99/10/1、111/2/1、115/2/1),頭頸癌,"下咽癌及喉癌, 使用於局部晚期之口咽癌",262
9.27.Cetuximab(如Erbitux)：(96/3/1、98/7/1、98/8/1、99/10/1、101/12/1、104/11/1、106/1/1、106/4/1、107/6/1、110/6/1、111/2/1、112/12/1、113/6/1、115/2/1、115/5/1),3.,3.頭頸癌部分(106/1/1、106/4/1、112/12/1、115/2/1)：,頭頸癌,轉移性頭頸部鱗狀細胞癌,154
9.28.Bortezomib（如Velcade）：（96/6/1、98/2/1、99/3/1、99/9/1、100/10/1、101/6/1、105/5/1、109/4/1、109/6/1、111/1/1、112/4/1）附表九之三,一般,(無標題),無符合,無,3
9.28.Bortezomib（如Velcade）：（96/6/1、98/2/1、99/3/1、99/9/1、100/10/1、101/6/1、105/5/1、109/4/1、109/6/1、111/1/1、112/4/1）附表九之三,1.,1.合併其他癌症治療藥品使用於多發性骨髓瘤病人：(99/3/1、100/10/1、101/6/1、109/4/1、109/6/1、111/1/1、112/4/1),多發性骨髓瘤,"合併其他癌, 治療藥品使用於多發性骨髓瘤",858
9.28.Bortezomib（如Velcade）：（96/6/1、98/2/1、99/3/1、99/9/1、100/10/1、101/6/1、105/5/1、109/4/1、109/6/1、111/1/1、112/4/1）附表九之三,2.,"2.被套細胞淋巴瘤（Mantle Cell Lymphoma, MCL）病人：(98/2/1、105/5/1)",淋巴瘤,被套細胞淋巴瘤,166
9.29. Erlotinib（如Tarceva）：（96/6/1、96/8/1、97/6/1、101/5/1、101/10/1、102/4/1、102/11/1、103/5/1、106/11/1、108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/2/1、111/4/1、113/3/1、113/6/1、113/9/1、113/10/1、114/3/1、114/4/1、115/8/1）,1.,1.限單獨使用於,肺癌,"之肺腺癌, 化或轉移之非小細胞肺癌, 局部晚期或轉移性肺腺癌, 轉移之腺性非小細胞肺癌",404
9.29. Erlotinib（如Tarceva）：（96/6/1、96/8/1、97/6/1、101/5/1、101/10/1、102/4/1、102/11/1、103/5/1、106/11/1、108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/2/1、111/4/1、113/3/1、113/6/1、113/9/1、113/10/1、114/3/1、114/4/1、115/8/1）,2.,2.Erlotinib與bevacizumab(除Zirabev以外)併用，作為無法手術切除的轉移性（第Ⅳ期）且帶有表皮生長因子受體(EGFR) Exon 21 L858R活性化突變之腦轉移非鱗狀非小細胞肺癌病患的第一線治療。(113/3/1、113/9/1、114/3/1、114/4/1）,肺癌,轉移非鱗狀非小細胞肺癌,146
9.29. Erlotinib（如Tarceva）：（96/6/1、96/8/1、97/6/1、101/5/1、101/10/1、102/4/1、102/11/1、103/5/1、106/11/1、108/6/1、108/11/1、109/4/1、109/6/1、109/10/1、111/2/1、111/4/1、113/3/1、113/6/1、113/9/1、113/10/1、114/3/1、114/4/1、115/8/1）,3.,3.使用注意事項(106/11/1、109/4/1、109/10/1、111/4/1、115/8/1）,肺癌,"存確實患有非小細胞肺癌, 歷應留存確實患有肺腺癌, 部侵犯性或轉移性肺腺癌",1434
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),一般,(無標題),無符合,無,3
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),1.,1.第一線使用(102/4/1、104/12/1、110/5/1)：,白血病,"性之慢性期慢性骨髓性白血病, 染色體陽性急性淋巴性白血病",141
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),2.,2.第二線使用(104/12/1)：,白血病,"染色體陽性急性淋巴性白血病, 速或急性期慢性骨髓性白血病",188
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),3.,3.治療患有慢性期費城染色體陽性慢性骨髓性白血病(Ph+ CML) 之1歲以上的兒童病人。(110/5/1),白血病,染色體陽性慢性骨髓性白血病,54
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),4.,4.1~3項規定內之疾病診斷或追蹤若需依據基因檢測報告，則需符合全民健康保險藥品給付規定之通則十二。(113/6/1),無符合,無,59
9.30.Dasatinib(如Sprycel)：(98/1/1、102/4/1、104/12/1、110/5/1、113/6/1、115/2/1),5.,5.Dasatinib、nilotinib與bosutinib不得合併使用。(115/2/1),無符合,無,47
9.31. Sunitinib（如Sutent）：（98/2/1、98/5/1、99/1/1、99/2/1、101/5/1、102/1/1、104/12/1、110/12/1、112/3/1）,1.,1.腸胃道間質腫瘤：,無符合,"能忍受之腸胃道間質腫瘤, 腸胃道間質腫瘤",176
9.31. Sunitinib（如Sutent）：（98/2/1、98/5/1、99/1/1、99/2/1、101/5/1、102/1/1、104/12/1、110/12/1、112/3/1）,2.,2. 晚期腎細胞癌：（99/1/1、110/12/1、112/3/1）,腎細胞癌,"晚期腎細胞癌, 療晚期或轉移性腎細胞癌",194
9.31. Sunitinib（如Sutent）：（98/2/1、98/5/1、99/1/1、99/2/1、101/5/1、102/1/1、104/12/1、110/12/1、112/3/1）,3.,3.進展性，無法切除或轉移性分化良好之胰臟神經內分泌腫瘤的成人病患，須同時符合下列條件：(101/5/1）,無符合,"好之胰臟神經內分泌腫瘤, 胰臟神經內分泌瘤",169
9.32.1.Nilotinib 200mg(如Tasigna 200mg)（98/6/1、99/1/1、104/12/1、113/6/1、115/2/1）,1.,1. 限用於治療對imatinib 400MG(含)以上耐受性不良或治療無效的「慢性期或加速期費城染色體(Philadelphia chromosome)陽性的慢性骨髓性白血病(CML)成年患者」。,白血病,陽性的慢性骨髓性白血病,99
9.32.1.Nilotinib 200mg(如Tasigna 200mg)（98/6/1、99/1/1、104/12/1、113/6/1、115/2/1）,2.,2.必須檢附耐受性不良或治療無效的證明。(104/12/1),無符合,無,30
9.32.1.Nilotinib 200mg(如Tasigna 200mg)（98/6/1、99/1/1、104/12/1、113/6/1、115/2/1）,3.,3.Nilotinib、dasatinib與bosutinib不得合併使用。（98/6/1、99/1/1、104/12/1、115/2/1),無符合,無,70
9.32.1.Nilotinib 200mg(如Tasigna 200mg)（98/6/1、99/1/1、104/12/1、113/6/1、115/2/1）,4.,4.1~2項規定內之疾病診斷或追蹤若需依據基因檢測報告，則需符合全民健康保險藥品給付規定之通則十二。(113/6/1),無符合,無,59
9.32.2.Nilotinib 150mg(如Tasigna 150mg)：(101/7/1、104/12/1、113/6/1),1.,1.限用於新確診之慢性期費城染色體陽性的慢性骨髓性白血病。(104/12/1),白血病,色體陽性的慢性骨髓性白血病,39
9.32.2.Nilotinib 150mg(如Tasigna 150mg)：(101/7/1、104/12/1、113/6/1),2.,2.疾病診斷或追蹤若需依據基因檢測報告，則需符合全民健康保險藥品給付規定之通則十二。(113/6/1),無符合,無,51
9.33.Thalidomide（如Thado）：(98/7/1),一般,(無標題),多發性骨髓瘤,治療新診斷多發性骨髓瘤,82
9.34.Sorafenib(如Nexavar)：(98/10/1、100/6/1、101/8/1、104/12/1、105/11/1、106/1/1、107/7/1、108/6/1、108/12/1、109/1/1、112/8/1、114/2/1、114/6/1),1.,1.晚期腎細胞癌部分：,腎細胞癌,晚期腎細胞癌,215
9.34.Sorafenib(如Nexavar)：(98/10/1、100/6/1、101/8/1、104/12/1、105/11/1、106/1/1、107/7/1、108/6/1、108/12/1、109/1/1、112/8/1、114/2/1、114/6/1),2.,2.晚期肝細胞癌部分：(101/8/1、105/11/1、108/6/1、109/1/1、112/8/1、114/2/1、114/6/1),肝癌,晚期肝細胞癌,496
9.34.Sorafenib(如Nexavar)：(98/10/1、100/6/1、101/8/1、104/12/1、105/11/1、106/1/1、107/7/1、108/6/1、108/12/1、109/1/1、112/8/1、114/2/1、114/6/1),3.,3.用於放射性碘治療無效之局部晚期或轉移性的進行性(progressive)分化型甲狀腺癌(RAI-RDTC)：(106/1/1),甲狀腺癌,分化型甲狀腺癌,201
9.35.carmustine植入劑(如Gliadel Wafer)：(100/2/1)附表八之四,1.,1.作為復發性多形神經膠母細胞瘤病人的手術輔助，且不得與temozolomide併用。,腦瘤,發性多形神經膠母細胞瘤,43
9.35.carmustine植入劑(如Gliadel Wafer)：(100/2/1)附表八之四,2.,2.需經事前審查核准後使用。,無符合,無,14
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,1.,1.治療經VEGF-targeted療法無效後之晚期腎細胞癌患者。,腎細胞癌,法無效後之晚期腎細胞癌,33
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,2.,2.使用於胰臟神經內分泌腫瘤成人病患，需同時符合下列條件：（102/1/1）,無符合,"為進展性腫瘤, 用於胰臟神經內分泌腫瘤, 移的成人胰臟內分泌腫瘤",210
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,3.,3.使用於無法切除、局部晚期或轉移之胃腸道或肺部來源之非功能性神經內分泌腫瘤成人病患，需同時符合下列條件：（108/10/1）,無符合,"為進展性腫瘤, 非功能性神經內分泌腫瘤",145
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,4.,4.與exemestane併用，作為先前已使用過非類固醇類之芳香環酶抑制劑治療無效，而未曾使用exemestane之荷爾蒙接受體陽性、HER2受體陰性且尚未出現器官轉移危急症狀 (visceral crisis)之轉移性乳癌病人的治療。本品與tucidinostat僅得擇一使用，除因耐受性不良，不得,乳癌,之轉移性乳癌,205
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,5.,5.除晚期腎細胞癌之外，其他疾病需經事前審查核准後使用，每次申請之療程以3個月為限。初次申請時需檢送病理報告及影像報告，之後每3個月申請一次，再次申請時需檢附影像資料及前次治療結果評估資料證實無惡化，才可繼續使用。(104/12/1、108/10/1),腎細胞癌,除晚期腎細胞癌,126
9.36.1.Everolimus 5mg及10mg(如Afinitor 5mg及10mg)：（100/2/1、102/1/1、104/9/1、104/12/1、106/3/1、108/10/1、109/4/1、114/12/1）,6.,6.限每日最大劑量為10mg。（108/10/1）,無符合,無,25
9.36.2.Everolimus 2.5mg及5mg(如Votubia)：（102/1/1、106/4/1、111/2/1）,1.,1.治療患有結節性硬化症(tuberous sclerosis)之腦室管膜下巨細胞星狀瘤(SEGA: subependymal giant cell astrocytoma)：,無符合,腦室管膜下巨細胞星狀瘤,280
9.36.2.Everolimus 2.5mg及5mg(如Votubia)：（102/1/1、106/4/1、111/2/1）,2.,2.結節性硬化症併有腎血管肌脂肪瘤之成年病患，且需符合以下條件(106/4/1、111/2/1)：,無符合,"以上腫瘤, 公分以上的腫瘤, 其腎血管肌脂肪瘤, 出血或確認病灶有血管瘤, 化症併有腎血管肌脂肪瘤, 若腫瘤",488
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),1.,1.轉移性大腸或直腸癌：,結直腸癌,"作為轉移性大腸或直腸癌, 變的轉移性大腸或直腸癌, 轉移性大腸或直腸癌",717
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),2.,2.惡性神經膠質瘤(WHO第4級)-神經膠母細胞瘤：,腦瘤,"之多型性神經膠母細胞瘤, 惡性神經膠質瘤",194
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),3.,3.卵巢上皮細胞、輸卵管或原發性腹膜癌：(109/6/1、113/3/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),卵巢癌,"或原發性腹膜癌, 晚期高度惡性上皮卵巢癌, 輸卵管或原發性腹膜癌, 輸卵管腫瘤",1120
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),4.,4.持續性、復發性或轉移性之子宮頸癌：(109/6/1、113/3/1),子宮頸癌,發性或轉移性之子宮頸癌,246
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),5.,5.晚期、轉移性或復發性非鱗狀非小細胞肺癌(除Zirabev及Abevmy以外)：(113/3/1、113/6/1、113/9/1、114/3/1),肺癌,"發性非鱗狀非小細胞肺癌, 轉移非鱗狀非小細胞肺癌",425
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),6.,6.與atezolizumab併用適用於未曾使用過全身性治療用藥之轉移性或無法手術切除且不適合局部治療或局部治療失敗之Child-Pugh A class晚期肝細胞癌，患者需符合atezolizumab之藥品給付規定。(112/8/1),肝癌,晚期肝細胞癌,118
9.37.Bevacizumab(如Avastin)：（100/6/1、101/05/1、106/4/1、108/3/1、109/6/1、112/8/1、113/3/1、113/6/1、113/9/1、114/3/1、114/6/1、114/8/1、114/10/1),7.,7. Bevacizumab(限使用Alymsys、Avastin、Abevmy、Vegzelma或Mvasi)與atezolizumab及carboplatin、paclitaxel併用於轉移性非鱗狀非小細胞肺癌第一線治療，患者需符合免疫檢查點抑制劑之藥品給付規定。(114/6/1、114/8/1,肺癌,無,151
9.38.Temsirolimus(如Torisel)：（101/1/1）附表九之十一,1.,1.需經事前審查核准後使用，每次給付3個月藥量，送審時需檢送影像資料，每3個月評估一次。,腎細胞癌,"型的高風險晚期腎細胞癌, 距離初次診斷出腎細胞癌",279
9.38.Temsirolimus(如Torisel)：（101/1/1）附表九之十一,2.,"2.病人若對藥物產生耐受性不佳（intolerance），則以原來藥物減量為原則，若嚴重耐受性不佳，可以換其他酪胺酸激酶阻斷劑（tyrosine kinase inhibitor, TKI）。",無符合,無,96
9.39.Flutamide；buserelin：（90/8/1、101/7/1）,1.,1.晚期（包括T3、淋巴腺轉移、器官轉移）之腫瘤。,無符合,之腫瘤,25
9.39.Flutamide；buserelin：（90/8/1、101/7/1）,2.,2.攝護腺癌病人接受根除性攝護腺切除手術治療後，PSA逐漸升高有局部復發或遠處轉移之情況。,攝護腺癌,無,45
9.39.Flutamide；buserelin：（90/8/1、101/7/1）,3.,3.癌症臨床期別為T2、T3，準備接受根除性攝護腺切除手術治療或其他定效治療，包括irradiation之前為求tumor volume reduction，作為neoadjuvant治療之目的。,無符合,無,98
9.40.Bicalutamide：（89/10/1、101/7/1）,一般,(無標題),攝護腺癌,法併用於進展性攝護腺癌,31
9.41.Pazopanib（如Votrient）：（101/8/1、104/4/1、106/3/1、110/12/1、112/10/1）附表九之十三,1.,1.腎細胞癌：（106/3/1、110/12/1）,腎細胞癌,"其病理上為亮細胞癌, 療晚期或轉移性腎細胞癌",218
9.41.Pazopanib（如Votrient）：（101/8/1、104/4/1、106/3/1、110/12/1、112/10/1）附表九之十三,2.,2.軟組織肉瘤：（104/4/1、112/10/1）,"胃腸道基質瘤, 軟組織肉瘤","化療失敗的晚期軟組織肉瘤, 原發性神經外胚層腫瘤, 惡性肉瘤, 橫紋肌惡性肉瘤, 突起性表皮纖維惡性腫瘤, 脂肪惡性肉瘤, 軟骨惡性肉瘤, 須排除胃腸道基質瘤, 骨性惡性肉瘤",308
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),1.,1.以本品作為第一線治療，限用於Binet C級之慢性淋巴性白血病病人(CLL)或Binet B級併有免疫性症候(如自體免疫性溶血、免疫性血小板低下紫瘢症等)相關疾病之CLL病人。,白血病,級之慢性淋巴性白血病,90
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),2.,2.用於B-細胞慢性淋巴性白血病（CLL）病患Binet B及C之第二線治療，在經歷至少一種標準內容的烷化基藥劑（alkylating agent）治療方法無效，或治療後雖有效但隨後疾病又繼續惡化進展的病人。,白血病,細胞慢性淋巴性白血病,104
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),3.,3.曾接受至少一種化療之和緩性非何杰金氏淋巴瘤，六個月內曾以rituximab治療失敗之單一治療。(103/2/1),淋巴瘤,和緩性非何杰金氏淋巴瘤,58
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),4.,4. 合併rituximab適用於先前未曾接受治療的CD20陽性、第III/IV期和緩性非何杰金氏淋巴瘤。(108/10/1),淋巴瘤,和緩性非何杰金氏淋巴瘤,63
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),5.,5. 合併rituximab用於先前未曾接受治療且不適合自體幹細胞移植的第III/IV期被套細胞淋巴瘤。(108/10/1),淋巴瘤,期被套細胞淋巴瘤,62
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),6.,6.可與polatuzumab vedotin和rituximab併用，適用於第三線治療復發型(relapsed)或難治型(refractory)且未曾接受及不適合接受造血幹細胞移植的瀰漫性大型B細胞淋巴瘤（DLBCL）成年病人，患者需符合polatuzumab vedotin之藥品給付規定。(11,淋巴瘤,細胞淋巴瘤,156
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),7.,7.不得與fludarabine合併使用。(103/2/1),無符合,無,30
9.42.Bendamustine（如Innomustine）：(101/10/1、103/2/1、108/10/1、113/2/1),8.,8.須經事前審查核准後使用，每次申請最多六個（月）療程；若為依前述第6項與polatuzumab vedotin和rituximab併用時，每次申請最多3個療程，且最多給付6個療程。(101/10/1、113/2/1)。,無符合,無,110
9.43.Lenalidomide(如Revlimid)：（101/12/1、106/10/1、109/2/1、109/8/1、112/4/1、114/10/1、115/3/1、115/4/1、115/5/1）,1.,1.多發性骨髓瘤：,多發性骨髓瘤,"一種治療失敗之多發性骨髓瘤, 血幹細胞移植的多發性骨髓瘤",1769
9.43.Lenalidomide(如Revlimid)：（101/12/1、106/10/1、109/2/1、109/8/1、112/4/1、114/10/1、115/3/1、115/4/1、115/5/1）,2.,2.瀰漫性大型B細胞淋巴瘤：(114/10/1、115/3/1、115/4/1),淋巴瘤,細胞淋巴瘤,253
9.43.Lenalidomide(如Revlimid)：（101/12/1、106/10/1、109/2/1、109/8/1、112/4/1、114/10/1、115/3/1、115/4/1、115/5/1）,3.,3.Lenalidomide(限使用Revlimid)與rituximab(限使用Rixathon)併用，治療先前曾接受至少一線全身性治療之復發性或難治性濾泡性淋巴瘤成人病人：（115/5/1）,淋巴瘤,"性或難治性濾泡性淋巴瘤, 有三顆以上之腫瘤, 有單一腫瘤",497
9.44.1.Azacitidine 注射劑（如Vidaza）：（102/1/1、111/5/1、111/8/1、112/2/1、112/8/1、114/3/1、114/8/1、114/12/1）,1.,"1.骨髓增生不良症候群高危險性病患：頑固性貧血併有過量芽細胞（RA with excess blasts, RAEB）、轉變中的頑固性貧血併有過量芽細胞（RAEB in transformation, RAEB-T）、及慢性骨髓單核細胞性白血病（chronic myelomonocytic leuk",白血病,及慢性骨髓單核細胞性白血病,541
